0.10,0.10,30.88,139.57,1596.00
0.10,0.30,8.99,30.39,315.00
0.10,0.50,5.68,15.80,216.00
0.10,0.70,6.44,16.99,221.00
0.10,0.90,6.69,18.29,272.00
0.30,0.10,5.96,18.52,256.00
0.30,0.30,4.15,6.63,94.00
0.30,0.50,3.45,4.05,41.00
0.30,0.70,3.45,3.76,33.00
0.30,0.90,3.43,3.70,48.00
0.50,0.10,4.13,8.13,104.00
0.50,0.30,3.20,2.86,32.00
0.50,0.50,3.19,2.50,21.00
0.50,0.70,3.14,2.26,25.00
0.50,0.90,3.04,2.19,28.00
0.70,0.10,3.93,6.76,92.00
0.70,0.30,2.95,2.19,28.00
0.70,0.50,2.96,1.81,16.00
0.70,0.70,3.00,1.73,16.00
0.70,0.90,3.11,1.81,18.00
0.90,0.10,3.52,4.49,53.00
0.90,0.30,3.03,1.95,18.00
0.90,0.50,2.97,1.49,10.00
0.90,0.70,3.04,1.68,15.00
0.90,0.90,3.26,1.94,17.00
