0.10,0.10,51.95,181.92,1727.00
0.10,0.30,11.52,35.07,392.00
0.10,0.50,9.12,24.75,288.00
0.10,0.70,8.72,21.89,224.00
0.10,0.90,9.54,24.56,241.00
0.30,0.10,10.22,30.41,395.00
0.30,0.30,4.37,6.24,88.00
0.30,0.50,4.24,5.09,59.00
0.30,0.70,4.02,4.52,43.00
0.30,0.90,4.09,4.68,39.00
0.50,0.10,5.82,10.47,85.00
0.50,0.30,3.79,4.23,69.00
0.50,0.50,3.39,2.79,34.00
0.50,0.70,3.43,2.62,19.00
0.50,0.90,3.56,2.77,30.00
0.70,0.10,4.49,7.28,93.00
0.70,0.30,3.30,2.50,22.00
0.70,0.50,3.24,2.06,17.00
0.70,0.70,3.32,2.15,21.00
0.70,0.90,3.45,2.22,18.00
0.90,0.10,3.82,4.62,52.00
0.90,0.30,3.21,2.06,19.00
0.90,0.50,3.21,2.00,17.00
0.90,0.70,3.16,1.69,15.00
0.90,0.90,3.43,2.16,19.00
