0.10,0.10,29.78,21.40,2.00,115.00,0.97,714
0.10,0.30,30.84,27.69,2.00,258.00,0.98,753
0.10,0.50,40.01,53.28,2.00,512.00,0.98,804
0.30,0.10,28.40,25.31,2.00,296.00,0.98,807
0.30,0.30,33.16,35.07,2.00,243.00,0.99,909
0.30,0.50,42.49,50.73,2.00,394.00,1.00,972
0.50,0.10,28.11,26.99,2.00,226.00,0.98,866
0.50,0.30,34.42,41.99,2.00,383.00,1.00,973
0.50,0.50,36.68,42.10,2.00,459.00,1.00,998
