0.10,0.10,36.75,151.19,2139.00
0.10,0.30,9.18,29.68,375.00
0.10,0.50,7.22,19.11,256.00
0.10,0.70,7.50,20.59,252.00
0.10,0.90,6.78,18.33,203.00
0.30,0.10,8.02,23.89,280.00
0.30,0.30,3.92,5.49,57.00
0.30,0.50,3.46,3.70,40.00
0.30,0.70,3.71,4.27,35.00
0.30,0.90,3.55,3.92,44.00
0.50,0.10,4.18,6.99,88.00
0.50,0.30,3.24,2.80,30.00
0.50,0.50,3.26,2.53,24.00
0.50,0.70,3.20,2.37,23.00
0.50,0.90,3.45,2.80,31.00
0.70,0.10,3.94,5.41,52.00
0.70,0.30,3.15,2.50,32.00
0.70,0.50,3.19,2.10,19.00
0.70,0.70,3.16,2.08,27.00
0.70,0.90,3.21,1.95,14.00
0.90,0.10,3.63,4.54,65.00
0.90,0.30,2.98,1.96,19.00
0.90,0.50,2.98,1.70,21.00
0.90,0.70,3.23,1.92,20.00
0.90,0.90,3.33,1.92,13.00
