0.10,0.10,140.57,274.69,2668.00
0.10,0.30,32.77,59.07,455.00
0.10,0.50,23.31,40.10,368.00
0.10,0.70,19.89,32.57,277.00
0.10,0.90,23.00,35.56,294.00
0.30,0.10,27.30,48.00,347.00
0.30,0.30,8.92,10.89,81.00
0.30,0.50,6.78,7.87,83.00
0.30,0.70,6.82,6.97,52.00
0.30,0.90,6.61,6.90,53.00
0.50,0.10,11.86,18.20,163.00
0.50,0.30,5.39,5.51,53.00
0.50,0.50,4.68,4.17,44.00
0.50,0.70,4.52,3.89,35.00
0.50,0.90,4.78,3.87,30.00
0.70,0.10,8.81,12.51,148.00
0.70,0.30,4.54,3.81,29.00
0.70,0.50,4.00,2.94,26.00
0.70,0.70,3.99,2.74,19.00
0.70,0.90,4.04,2.74,24.00
0.90,0.10,6.92,10.13,153.00
0.90,0.30,3.94,3.02,34.00
0.90,0.50,3.53,2.20,18.00
0.90,0.70,3.51,2.21,20.00
0.90,0.90,3.67,2.23,17.00
