0.10,0.10,287.36,342.24,2532.00
0.10,0.30,64.05,77.39,633.00
0.10,0.50,46.20,54.36,476.00
0.10,0.70,39.33,45.03,399.00
0.10,0.90,40.42,42.81,282.00
0.30,0.10,50.08,66.20,481.00
0.30,0.30,15.19,16.53,173.00
0.30,0.50,10.63,10.20,92.00
0.30,0.70,9.39,9.29,93.00
0.30,0.90,10.15,9.09,59.00
0.50,0.10,21.03,24.15,208.00
0.50,0.30,7.78,7.24,62.00
0.50,0.50,6.70,5.67,40.00
0.50,0.70,6.05,4.85,33.00
0.50,0.90,6.54,5.51,38.00
0.70,0.10,14.83,16.93,155.00
0.70,0.30,6.00,5.07,51.00
0.70,0.50,4.83,3.48,36.00
0.70,0.70,4.53,3.15,24.00
0.70,0.90,4.62,3.21,21.00
0.90,0.10,10.76,11.61,110.00
0.90,0.30,4.58,3.58,34.00
0.90,0.50,3.80,2.57,21.00
0.90,0.70,3.76,2.35,17.00
0.90,0.90,3.81,2.37,19.00
