0.10,0.10,247.10,340.78,2284.00
0.10,0.30,52.60,72.58,460.00
0.10,0.50,38.76,52.41,381.00
0.10,0.70,35.07,44.09,285.00
0.10,0.90,36.68,43.74,281.00
0.30,0.10,41.89,59.22,476.00
0.30,0.30,12.45,13.83,118.00
0.30,0.50,9.75,10.09,99.00
0.30,0.70,9.09,9.30,85.00
0.30,0.90,9.45,9.50,72.00
0.50,0.10,19.49,24.44,230.00
0.50,0.30,7.19,6.85,77.00
0.50,0.50,5.91,5.10,41.00
0.50,0.70,5.74,4.75,37.00
0.50,0.90,6.07,4.91,48.00
0.70,0.10,12.77,15.31,123.00
0.70,0.30,5.29,4.71,47.00
0.70,0.50,4.58,3.49,36.00
0.70,0.70,4.36,2.98,23.00
0.70,0.90,4.42,3.25,32.00
0.90,0.10,9.29,10.86,132.00
0.90,0.30,4.43,3.34,32.00
0.90,0.50,3.82,2.58,23.00
0.90,0.70,3.57,2.21,18.00
0.90,0.90,3.81,2.40,19.00
