0.10,0.10,3.10,1.08,2.00,9.00
0.10,0.30,3.09,1.17,2.00,11.00
0.10,0.50,3.06,1.04,2.00,9.00
0.10,0.70,3.01,1.03,2.00,9.00
0.10,0.90,3.07,1.11,2.00,9.00
0.30,0.10,3.07,1.09,2.00,9.00
0.30,0.30,3.20,1.24,2.00,11.00
0.30,0.50,3.20,1.19,2.00,11.00
0.30,0.70,3.24,1.28,2.00,11.00
0.30,0.90,3.36,1.39,2.00,11.00
0.50,0.10,3.00,1.02,2.00,9.00
0.50,0.30,3.22,1.23,2.00,10.00
0.50,0.50,3.38,1.30,2.00,10.00
0.50,0.70,3.52,1.46,2.00,11.00
0.50,0.90,3.60,1.54,2.00,11.00
0.70,0.10,3.10,1.13,2.00,9.00
0.70,0.30,3.37,1.35,2.00,10.00
0.70,0.50,3.55,1.53,2.00,12.00
0.70,0.70,3.84,1.82,2.00,15.00
0.70,0.90,4.31,2.34,2.00,19.00
0.90,0.10,3.11,1.10,2.00,9.00
0.90,0.30,3.48,1.54,2.00,11.00
0.90,0.50,3.92,1.89,2.00,16.00
0.90,0.70,4.63,2.52,2.00,18.00
0.90,0.90,5.42,3.43,2.00,28.00
