0.10,0.10,92.42,208.49,1310.00
0.10,0.30,27.06,56.30,448.00
0.10,0.50,19.13,38.51,406.00
0.10,0.70,16.56,30.92,276.00
0.10,0.90,15.80,30.96,281.00
0.30,0.10,17.29,34.82,302.00
0.30,0.30,7.14,10.49,108.00
0.30,0.50,5.82,7.04,68.00
0.30,0.70,5.60,5.83,41.00
0.30,0.90,6.01,6.24,44.00
0.50,0.10,10.15,18.24,154.00
0.50,0.30,5.04,5.33,49.00
0.50,0.50,4.23,3.45,30.00
0.50,0.70,4.12,3.33,29.00
0.50,0.90,4.39,3.67,38.00
0.70,0.10,6.74,9.69,95.00
0.70,0.30,4.04,3.62,39.00
0.70,0.50,3.82,2.93,30.00
0.70,0.70,3.84,2.55,17.00
0.70,0.90,3.84,2.49,18.00
0.90,0.10,5.75,7.04,65.00
0.90,0.30,3.68,2.36,19.00
0.90,0.50,3.39,2.09,18.00
0.90,0.70,3.62,2.35,26.00
0.90,0.90,3.51,2.11,16.00
