0.10,0.10,58.49,174.17,1469.00
0.10,0.30,13.74,37.32,334.00
0.10,0.50,10.13,25.14,296.00
0.10,0.70,10.26,24.43,280.00
0.10,0.90,10.95,24.80,228.00
0.30,0.10,11.45,33.21,372.00
0.30,0.30,4.71,7.11,78.00
0.30,0.50,4.34,5.20,47.00
0.30,0.70,4.37,5.09,51.00
0.30,0.90,4.23,4.96,54.00
0.50,0.10,6.32,14.18,208.00
0.50,0.30,3.84,3.69,36.00
0.50,0.50,3.56,2.90,25.00
0.50,0.70,3.45,2.53,22.00
0.50,0.90,3.82,3.19,28.00
0.70,0.10,4.46,6.62,80.00
0.70,0.30,3.51,3.12,36.00
0.70,0.50,3.23,2.16,20.00
0.70,0.70,3.36,2.16,19.00
0.70,0.90,3.46,2.29,19.00
0.90,0.10,4.07,5.27,71.00
0.90,0.30,3.24,2.28,26.00
0.90,0.50,3.11,1.73,13.00
0.90,0.70,3.27,1.95,18.00
0.90,0.90,3.56,2.30,25.00
