0.10,0.10,494.37,587.92,2.00,4425.00
0.10,0.30,88.61,109.95,2.00,933.00
0.10,0.50,57.38,62.65,2.00,626.00
0.10,0.70,49.65,48.98,2.00,319.00
0.10,0.90,50.47,45.44,2.00,286.00
0.30,0.10,95.17,122.06,2.00,899.00
0.30,0.30,26.52,28.66,2.00,281.00
0.30,0.50,20.33,19.18,2.00,148.00
0.30,0.70,19.14,17.16,2.00,135.00
0.30,0.90,20.90,19.41,2.00,199.00
0.50,0.10,45.41,53.76,2.00,350.00
0.50,0.30,16.06,15.50,2.00,150.00
0.50,0.50,12.81,10.87,2.00,81.00
0.50,0.70,12.33,9.83,2.00,81.00
0.50,0.90,14.20,12.32,2.00,120.00
0.70,0.10,27.95,30.96,2.00,247.00
0.70,0.30,12.59,11.55,2.00,105.00
0.70,0.50,9.84,7.54,2.00,56.00
0.70,0.70,10.01,7.21,2.00,55.00
0.70,0.90,11.01,8.55,2.00,67.00
0.90,0.10,22.05,24.28,2.00,238.00
0.90,0.30,9.65,7.93,2.00,80.00
0.90,0.50,8.29,5.60,2.00,43.00
0.90,0.70,9.10,6.49,2.00,46.00
0.90,0.90,11.40,8.84,2.00,59.00
