0.10,0.10,6.16,3.74,2.00,23.00
0.10,0.30,6.42,4.11,2.00,31.00
0.10,0.50,6.43,4.22,2.00,39.00
0.10,0.70,6.72,4.43,2.00,35.00
0.10,0.90,6.78,4.46,2.00,39.00
0.30,0.10,6.16,3.99,2.00,30.00
0.30,0.30,5.93,3.56,2.00,34.00
0.30,0.50,6.19,3.77,2.00,27.00
0.30,0.70,6.36,3.84,2.00,25.00
0.30,0.90,6.70,4.32,2.00,36.00
0.50,0.10,6.19,3.65,2.00,29.00
0.50,0.30,6.06,3.77,2.00,29.00
0.50,0.50,6.08,3.59,2.00,27.00
0.50,0.70,6.63,4.28,2.00,37.00
0.50,0.90,7.11,4.68,2.00,38.00
0.70,0.10,6.22,3.92,2.00,37.00
0.70,0.30,6.04,3.62,2.00,30.00
0.70,0.50,6.22,3.69,2.00,25.00
0.70,0.70,6.84,4.55,2.00,39.00
0.70,0.90,8.09,5.55,2.00,40.00
0.90,0.10,5.98,3.50,2.00,23.00
0.90,0.30,5.88,3.52,2.00,26.00
0.90,0.50,6.35,3.78,2.00,38.00
0.90,0.70,7.32,4.85,2.00,45.00
0.90,0.90,9.08,7.07,2.00,52.00
