0.10,0.10,3.34,1.28,2.00,12.00
0.10,0.30,3.38,1.33,2.00,11.00
0.10,0.50,3.46,1.40,2.00,11.00
0.10,0.70,3.44,1.41,2.00,12.00
0.10,0.90,3.49,1.43,2.00,12.00
0.30,0.10,3.44,1.45,2.00,11.00
0.30,0.30,3.56,1.44,2.00,10.00
0.30,0.50,3.61,1.54,2.00,11.00
0.30,0.70,3.72,1.65,2.00,12.00
0.30,0.90,3.74,1.65,2.00,15.00
0.50,0.10,3.46,1.35,2.00,12.00
0.50,0.30,3.62,1.55,2.00,12.00
0.50,0.50,3.76,1.77,2.00,20.00
0.50,0.70,3.97,1.79,2.00,13.00
0.50,0.90,4.10,1.99,2.00,14.00
0.70,0.10,3.51,1.50,2.00,12.00
0.70,0.30,3.64,1.60,2.00,16.00
0.70,0.50,4.00,1.92,2.00,16.00
0.70,0.70,4.48,2.29,2.00,18.00
0.70,0.90,4.85,2.69,2.00,19.00
0.90,0.10,3.45,1.48,2.00,23.00
0.90,0.30,3.82,1.74,2.00,14.00
0.90,0.50,4.27,2.22,2.00,22.00
0.90,0.70,5.04,2.89,2.00,21.00
0.90,0.90,6.24,3.98,2.00,25.00
