0.10,0.10,179.32,291.67,2142.00
0.10,0.30,38.05,62.51,503.00
0.10,0.50,28.14,42.45,315.00
0.10,0.70,24.24,35.80,256.00
0.10,0.90,25.43,36.49,390.00
0.30,0.10,29.50,50.39,398.00
0.30,0.30,9.59,11.84,94.00
0.30,0.50,7.31,7.93,63.00
0.30,0.70,7.41,8.26,103.00
0.30,0.90,7.43,7.83,62.00
0.50,0.10,14.53,21.86,155.00
0.50,0.30,6.02,6.75,90.00
0.50,0.50,4.90,4.25,39.00
0.50,0.70,5.09,4.24,32.00
0.50,0.90,5.23,4.65,38.00
0.70,0.10,10.06,13.89,134.00
0.70,0.30,5.13,4.46,34.00
0.70,0.50,4.11,3.01,23.00
0.70,0.70,4.18,2.95,25.00
0.70,0.90,4.21,3.04,22.00
0.90,0.10,7.53,9.48,113.00
0.90,0.30,3.99,2.74,23.00
0.90,0.50,3.58,2.26,20.00
0.90,0.70,3.66,2.40,22.00
0.90,0.90,3.82,2.56,22.00
