0.10,0.10,89.47,222.83,2325.00
0.10,0.30,24.01,59.66,740.00
0.10,0.50,14.71,30.89,271.00
0.10,0.70,13.31,28.41,433.00
0.10,0.90,14.51,28.10,192.00
0.30,0.10,15.28,34.94,277.00
0.30,0.30,6.37,9.43,78.00
0.30,0.50,5.41,6.45,57.00
0.30,0.70,5.09,5.85,60.00
0.30,0.90,5.50,6.80,73.00
0.50,0.10,8.26,14.75,171.00
0.50,0.30,4.62,4.50,33.00
0.50,0.50,3.96,3.36,28.00
0.50,0.70,3.89,3.13,26.00
0.50,0.90,3.97,3.21,35.00
0.70,0.10,5.85,8.34,82.00
0.70,0.30,3.84,3.01,30.00
0.70,0.50,3.50,2.55,33.00
0.70,0.70,3.58,2.29,18.00
0.70,0.90,3.80,2.60,19.00
0.90,0.10,5.39,6.98,65.00
0.90,0.30,3.47,2.42,19.00
0.90,0.50,3.37,2.08,16.00
0.90,0.70,3.51,2.16,18.00
0.90,0.90,3.56,2.31,20.00
