0.00	0.10	0.10	59.00	0.00	59.00	59.00	0.95	0
0.00	0.10	0.30	21.00	0.00	21.00	21.00	0.87	0
0.00	0.10	0.50	12.00	0.00	12.00	12.00	1.00	1
0.00	0.30	0.10	52.00	0.00	52.00	52.00	0.87	0
0.00	0.30	0.30	38.00	0.00	38.00	38.00	1.00	1
0.00	0.30	0.50	20.00	0.00	20.00	20.00	1.00	1
0.00	0.50	0.10	45.00	0.00	45.00	45.00	0.87	0
0.00	0.50	0.30	136.00	0.00	136.00	136.00	1.00	1
0.00	0.50	0.50	71.00	0.00	71.00	71.00	1.00	1
0.20	0.10	0.10	52.00	0.00	52.00	52.00	0.87	0
0.20	0.10	0.30	10.00	0.00	10.00	10.00	1.00	1
0.20	0.10	0.50	67.00	0.00	67.00	67.00	0.87	0
0.20	0.30	0.10	19.00	0.00	19.00	19.00	1.00	1
0.20	0.30	0.30	9.00	0.00	9.00	9.00	1.00	1
0.20	0.30	0.50	31.00	0.00	31.00	31.00	1.00	1
0.20	0.50	0.10	7.00	0.00	7.00	7.00	1.00	1
0.20	0.50	0.30	53.00	0.00	53.00	53.00	1.00	1
0.20	0.50	0.50	201.00	0.00	201.00	201.00	1.00	1
0.40	0.10	0.10	49.00	0.00	49.00	49.00	0.87	0
0.40	0.10	0.30	29.00	0.00	29.00	29.00	1.00	1
0.40	0.10	0.50	31.00	0.00	31.00	31.00	1.00	1
0.40	0.30	0.10	7.00	0.00	7.00	7.00	1.00	1
0.40	0.30	0.30	8.00	0.00	8.00	8.00	1.00	1
0.40	0.30	0.50	44.00	0.00	44.00	44.00	1.00	1
0.40	0.50	0.10	44.00	0.00	44.00	44.00	0.87	0
0.40	0.50	0.30	27.00	0.00	27.00	27.00	1.00	1
0.40	0.50	0.50	187.00	0.00	187.00	187.00	1.00	1
0.60	0.10	0.10	2.00	0.00	2.00	2.00	1.00	1
0.60	0.10	0.30	21.00	0.00	21.00	21.00	1.00	1
0.60	0.10	0.50	34.00	0.00	34.00	34.00	0.87	0
0.60	0.30	0.10	33.00	0.00	33.00	33.00	1.00	1
0.60	0.30	0.30	28.00	0.00	28.00	28.00	0.86	0
0.60	0.30	0.50	34.00	0.00	34.00	34.00	1.00	1
0.60	0.50	0.10	23.00	0.00	23.00	23.00	0.87	0
0.60	0.50	0.30	80.00	0.00	80.00	80.00	0.87	0
0.60	0.50	0.50	47.00	0.00	47.00	47.00	1.00	1
0.80	0.10	0.10	27.00	0.00	27.00	27.00	0.87	0
0.80	0.10	0.30	53.00	0.00	53.00	53.00	0.87	0
0.80	0.10	0.50	4.00	0.00	4.00	4.00	1.00	1
0.80	0.30	0.10	101.00	0.00	101.00	101.00	0.99	0
0.80	0.30	0.30	48.00	0.00	48.00	48.00	1.00	1
0.80	0.30	0.50	8.00	0.00	8.00	8.00	1.00	1
0.80	0.50	0.10	19.00	0.00	19.00	19.00	1.00	1
0.80	0.50	0.30	72.00	0.00	72.00	72.00	1.00	1
0.80	0.50	0.50	40.00	0.00	40.00	40.00	1.00	1
1.00	0.10	0.10	21.00	0.00	21.00	21.00	1.00	1
1.00	0.10	0.30	75.00	0.00	75.00	75.00	0.94	0
1.00	0.10	0.50	8.00	0.00	8.00	8.00	1.00	1
1.00	0.30	0.10	6.00	0.00	6.00	6.00	1.00	1
1.00	0.30	0.30	59.00	0.00	59.00	59.00	0.87	0
1.00	0.30	0.50	14.00	0.00	14.00	14.00	1.00	1
1.00	0.50	0.10	32.00	0.00	32.00	32.00	1.00	1
1.00	0.50	0.30	78.00	0.00	78.00	78.00	1.00	1
1.00	0.50	0.50	81.00	0.00	81.00	81.00	1.00	1
