0.00	0.10	0.10	35.94	23.42	2.00	117.00	0.96	597
0.00	0.30	0.10	36.70	28.52	2.00	223.00	0.96	670
0.00	0.10	0.30	40.00	31.82	2.00	242.00	0.96	621
0.00	0.50	0.10	41.13	36.87	2.00	217.00	0.97	757
0.00	0.10	0.50	46.15	51.05	3.00	597.00	0.96	683
0.00	0.30	0.30	51.54	49.90	2.00	301.00	0.98	842
0.00	0.50	0.30	61.55	75.48	4.00	668.00	1.00	978
0.00	0.30	0.50	75.71	96.45	3.00	791.00	1.00	964
0.20	0.10	0.10	31.74	23.06	2.00	124.00	0.97	683
0.20	0.10	0.30	34.76	27.08	2.00	198.00	0.97	700
0.20	0.30	0.10	35.23	29.41	2.00	311.00	0.97	691
0.20	0.50	0.10	36.13	33.42	2.00	246.00	0.98	799
0.20	0.10	0.50	46.65	61.84	2.00	559.00	0.97	715
0.20	0.30	0.30	43.95	43.24	3.00	328.00	0.98	854
0.20	0.30	0.50	61.19	76.73	2.00	583.00	1.00	964
0.00	0.50	0.50	62.93	63.18	4.00	485.00	1.00	1000
0.40	0.10	0.10	32.03	23.18	2.00	142.00	0.97	705
0.40	0.30	0.10	32.58	28.25	2.00	220.00	0.98	773
0.40	0.10	0.30	34.99	29.19	3.00	233.00	0.97	701
0.40	0.10	0.50	42.49	49.78	2.00	369.00	0.97	750
0.40	0.30	0.30	41.59	43.63	2.00	365.00	0.99	902
0.20	0.50	0.30	48.27	56.76	3.00	600.00	1.00	979
0.40	0.30	0.50	49.87	61.39	2.00	523.00	1.00	980
0.20	0.50	0.50	53.78	56.54	4.00	430.00	1.00	1000
0.60	0.10	0.10	28.52	21.73	2.00	133.00	0.97	733
0.60	0.30	0.10	30.53	27.62	2.00	245.00	0.98	780
0.60	0.10	0.30	31.50	27.14	2.00	197.00	0.97	728
0.40	0.50	0.10	31.58	30.62	2.00	271.00	0.98	840
0.60	0.30	0.30	35.70	38.62	2.00	288.00	0.99	885
0.60	0.10	0.50	39.34	45.02	2.00	612.00	0.98	774
0.40	0.50	0.30	39.09	43.47	2.00	276.00	1.00	982
0.40	0.50	0.50	42.18	43.77	2.00	292.00	1.00	1000
0.80	0.30	0.10	28.40	25.31	2.00	296.00	0.98	807
0.80	0.10	0.30	30.84	27.69	2.00	258.00	0.98	753
0.80	0.10	0.10	29.78	21.40	2.00	115.00	0.97	714
0.60	0.50	0.10	30.77	28.58	2.00	231.00	0.98	870
0.80	0.10	0.50	40.01	53.28	2.00	512.00	0.98	804
0.60	0.50	0.30	35.30	41.92	3.00	260.00	1.00	989
0.60	0.30	0.50	44.97	59.95	2.00	634.00	1.00	972
0.60	0.50	0.50	37.73	39.76	2.00	278.00	1.00	1000
0.80	0.50	0.10	28.11	26.99	2.00	226.00	0.98	866
1.00	0.10	0.10	27.86	20.06	2.00	108.00	0.98	766
1.00	0.10	0.30	30.23	27.65	2.00	236.00	0.98	792
0.80	0.30	0.30	33.16	35.07	2.00	243.00	0.99	909
1.00	0.10	0.50	36.88	45.34	2.00	608.00	0.98	804
0.80	0.50	0.30	34.42	41.99	2.00	383.00	1.00	973
0.80	0.30	0.50	42.49	50.73	2.00	394.00	1.00	972
0.80	0.50	0.50	36.68	42.10	2.00	459.00	1.00	998
1.00	0.50	0.10	24.94	25.97	2.00	217.00	0.99	904
1.00	0.30	0.10	26.08	24.64	2.00	185.00	0.98	838
1.00	0.30	0.30	28.54	31.58	2.00	352.00	0.99	925
1.00	0.50	0.30	27.95	32.07	2.00	265.00	1.00	982
1.00	0.30	0.50	36.63	43.02	2.00	347.00	1.00	976
1.00	0.50	0.50	30.43	31.29	2.00	248.00	1.00	999
